"法人番号","商号または名称","商号または名称（カナ）","商号または名称（英字）","登記記録の閉鎖等年月日","登記記録の閉鎖等の事由","登記住所","郵便番号","都道府県","都道府県コード","市区町村（郡）","市区町村コード","番地以下","組織種別","処理区分","訂正区分","状態","代表者名称","資本金","従業員数","企業規模詳細(男性)","企業規模詳細(女性)","事業概要","WebサイトURL","創業年","事業種目","設立年月日","全省庁統一資格-資格等級","全省庁統一資格-営業品目","更新年月日","キー情報","データ品質","データ品質-代表者名称","データ品質-資本金","データ品質-従業員数","データ品質-企業規模詳細(男性)","データ品質-企業規模詳細(女性)","データ品質-事業概要","データ品質-WebサイトURL","データ品質-創業年","データ品質-事業種目","データ品質-設立年月日","データ品質-全省庁統一資格-資格等級","データ品質-全省庁統一資格-営業品目","出典元","出典元-代表者名称","出典元-資本金","出典元-従業員数","出典元-企業規模詳細(男性)","出典元-企業規模詳細(女性)","出典元-事業概要","出典元-WebサイトURL","出典元-創業年","出典元-事業種目","出典元-設立年月日","出典元-全省庁統一資格-資格等級","出典元-全省庁統一資格-営業品目","データ取込頻度","データ取込頻度-代表者名称","データ取込頻度-資本金","データ取込頻度-従業員数","データ取込頻度-企業規模詳細(男性)","データ取込頻度-企業規模詳細(女性)","データ取込頻度-事業概要","データ取込頻度-WebサイトURL","データ取込頻度-創業年","データ取込頻度-事業種目","データ取込頻度-設立年月日","データ取込頻度-全省庁統一資格-資格等級","データ取込頻度-全省庁統一資格-営業品目","最終取得日","最終取得日-代表者名称","最終取得日-資本金","最終取得日-従業員数","最終取得日-企業規模詳細(男性)","最終取得日-企業規模詳細(女性)","最終取得日-事業概要","最終取得日-WebサイトURL","最終取得日-創業年","最終取得日-事業種目","最終取得日-設立年月日","最終取得日-全省庁統一資格-資格等級","最終取得日-全省庁統一資格-営業品目","最終更新日","最終更新日-代表者名称","最終更新日-資本金","最終更新日-従業員数","最終更新日-企業規模詳細(男性)","最終更新日-企業規模詳細(女性)","最終更新日-事業概要","最終更新日-WebサイトURL","最終更新日-創業年","最終更新日-事業種目","最終更新日-設立年月日","最終更新日-全省庁統一資格-資格等級","最終更新日-全省庁統一資格-営業品目"
"1010401058825","株式会社東拓電設","トウタクデンセツ","","","","北海道岩見沢市五条西３丁目１番地１","0680025","北海道","01","岩見沢市","210","五条西３丁目１番地１","301","12","0","","","","","","","","","","","","","","2018-09-20","1010401058825","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1010701029609","株式会社青い星通信社","アオイホシツウシンシャ","","","","北海道中川郡美深町字紋穂内１０８番地","0982366","北海道","01","中川郡美深町","469","字紋穂内１０８番地","301","12","0","","","","","","","","","","","","","","2022-12-09","1010701029609","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1011001116238","株式会社Ｆｒｏｍ　Ｎｏｒｔｈ","フロムノース","","","","北海道札幌市中央区北三条東１３丁目９９番地６ステーションプラザ２Ｆ","0600033","北海道","01","札幌市中央区","101","北三条東１３丁目９９番地６ステーションプラザ２Ｆ","301","12","1","","代表取締役　折内大輔","","20","17","3","HP制作、動画制作","https://from-north.jp/","","G:情報通信業","","","","2022-09-09","1011001116238","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","","","","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","","","","日次","日次","","","日次","日次","日次","日次","日次","日次","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","","","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","","",""
"1430001001267","池田煖房工業株式会社","イケダダンボウコウギョウ","","","","北海道札幌市北区北十二条西３丁目２番２０号","0010012","北海道","01","札幌市北区","102","北十二条西３丁目２番２０号","301","12","0","","代表取締役社長　池田　薫","","188","152","30","設備工事業","http://www.ikedan.co.jp/","","D:建設業","1955-08-08","|C|C|","224|309","2022-12-16","1430001001267","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","GEPS","GEPS","GEPS","日次","日次","","","日次","日次","日次","日次","日次","日次","日次","日次","日次","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12"
"1430001002083","栄光通信機株式会社","エイコウツウシンキ","","","","北海道札幌市西区発寒十条２丁目５番４３号","0630830","北海道","01","札幌市西区","107","発寒十条２丁目５番４３号","301","01","1","","代表取締役　山田　清司","","25","","","事務所用通信設備、複合複写機、OA機器販売、LAN配線等工事、保守業務","http://www.eikou-net.co.jp/","","I:卸売業、小売業","1986-10-18","|C|C|","209|214|216|217|219|220|223|308","2018-10-04","1430001002083","政府連携データ","政府連携データ","","","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","職場情報総合サイト","","","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","職場情報総合サイト","GEPS","GEPS","GEPS","日次","日次","","","日次","日次","日次","日次","日次","日次","日次","日次","日次","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-02-13","","","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-02-13","2026-03-12","2026-03-12","2026-03-12"
"1430001003081","日本衛生設備株式会社","","","","","北海道札幌市中央区南五条東３丁目１４番７号","0600055","北海道","01","札幌市中央区","101","南五条東３丁目１４番７号","301","01","0","","","","","","","","","","","","","","2015-10-30","1430001003081","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001003882","株式会社金崎電気製作所","カネザキデンキセイサクショ","","","","北海道札幌市東区北丘珠五条４丁目２番１６号","0070885","北海道","01","札幌市東区","103","北丘珠五条４丁目２番１６号","301","01","1","","","","","","","","","","","","","","2023-07-07","1430001003882","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
"1430001004419","北電力設備工事株式会社","キタデンリョクセツビコウジ","","","","北海道札幌市中央区南二条西１２丁目３２３番地","0600062","北海道","01","札幌市中央区","101","南二条西１２丁目３２３番地","301","01","1","","代表取締役　伏木　淳","","","","","","","","","1960-02-05","|C|C|","214|216|221|303|308|309|315","2018-05-31","1430001004419","政府連携データ","政府連携データ","","","","","","","","","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","GEPS","","","","","","","","","GEPS","GEPS","GEPS","日次","日次","","","","","","","","","日次","日次","日次","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12"
"1430001004641","協信電気工業株式会社","キョウシンデンキコウギョウ","","","","北海道札幌市中央区北十三条西１５丁目６番２２号","0600013","北海道","01","札幌市中央区","101","北十三条西１５丁目６番２２号","301","01","1","","代表取締役　成瀬　薫","","","","","","","","","1949-03-30","|D|D|","216|309","2018-08-16","1430001004641","政府連携データ","政府連携データ","","","","","","","","","政府連携データ","政府連携データ","政府連携データ","法人番号公表サイト","GEPS","","","","","","","","","GEPS","GEPS","GEPS","日次","日次","","","","","","","","","日次","日次","日次","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12","2025-12-05","2026-03-12","","","","","","","","","2026-03-12","2026-03-12","2026-03-12"
"1430001004749","株式会社共和坂本電気工事","キョウワサカモトデンキコウジ","","","","北海道札幌市豊平区月寒西四条１０丁目５番１８号","0620024","北海道","01","札幌市豊平区","105","月寒西四条１０丁目５番１８号","301","01","1","","","","","","","","","","","","","","2021-05-25","1430001004749","政府連携データ","","","","","","","","","","","","","法人番号公表サイト","","","","","","","","","","","","","日次","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","","","2025-12-05","","","","","","","","","","","",""
